Step,Time_hr,Target_Q,Choke_pct,OilRate_bbl_hr,WHP_psi,FLP_psi,BHP_psi
1,1.0,300.0,10.0,15.025344538585093,438.3438146717624,306.77460354013004,2765.088523419568
2,2.0,300.0,15.0,20.962728924750554,430.42879306462675,301.84172878048577,2749.6699821986417
3,3.0,300.0,20.0,28.419065044310994,421.71936778378654,295.5619600027965,2733.777835536337
4,4.0,300.0,25.0,37.1885618639263,415.4472500748416,287.4908065143658,2713.450141719696
5,5.0,300.0,30.0,45.33086657522829,402.6567779190603,280.22174467911634,2691.936572705799
6,6.0,300.0,35.0,53.48538740331105,394.02143192365503,272.077606543217,2673.976885075059
7,7.0,300.0,40.0,63.00048598862575,386.1338554191266,264.1744120375398,2649.33692789615
8,8.0,300.0,45.0,71.76787019335879,378.0169693486045,256.2391583061509,2626.7418252690672
9,9.0,300.0,50.0,83.25185457412414,370.4616034010177,251.68571456528716,2602.018130943405
10,10.0,300.0,55.0,89.92607536535841,361.7309798206726,242.8352001997637,2583.194386632636
11,11.0,300.0,60.0,99.8913643966723,353.7230963773891,236.61194892321998,2559.3768153840015
12,12.0,300.0,65.0,108.62517032091982,346.9044808125189,229.29457801880548,2538.7736559217774
13,13.0,300.0,70.0,115.6846926676269,339.5191569134601,223.04509040481815,2515.2422275284407
14,14.0,300.0,75.0,126.19691017315006,331.81600928135373,215.02391569186014,2491.0608149417185
15,15.0,300.0,80.0,131.07663155104592,321.98364431486226,210.40593285695894,2473.24113066809
16,16.0,300.0,85.0,139.34857224070177,316.20504338282666,204.3086672135997,2461.9612151136544
17,17.0,300.0,90.0,146.47356777113674,309.25868259045615,198.4347564245984,2438.977717643755
18,18.0,300.0,95.0,153.59234932220676,305.5912111749882,194.56046802698836,2424.007400269698
19,19.0,300.0,100.0,158.13343913063693,298.0426853759849,188.65175600236358,2403.88599547494
20,20.0,300.0,100.0,163.65154169007158,298.0569546319439,184.52373663572328,2391.7146367924247
21,21.0,300.0,100.0,167.46835472121168,293.7380974494569,181.70791022573417,2387.7558447879055
22,22.0,300.0,100.0,169.2531960517605,292.7856247824222,181.19104032122888,2381.4405616419936
23,23.0,300.0,100.0,170.35931620769085,292.6159942329883,180.1990911401056,2372.5968937996045
24,24.0,300.0,100.0,172.22881614173733,289.0811241842374,179.14786337730473,2364.4513016751184
25,25.0,300.0,100.0,172.17064906992294,289.53625256779327,180.53378938262142,2371.1341348311535
26,26.0,300.0,100.0,173.57005976268707,292.088981338125,180.8974740410584,2364.437812089891
27,27.0,300.0,100.0,174.3260295073622,290.1250306473606,180.95013396782227,2366.0221779166204
28,28.0,300.0,100.0,172.8729894357897,290.2812033151948,181.04205721569076,2352.4343667571784
29,29.0,300.0,100.0,174.84075941515047,290.15992349214133,181.56915154805125,2357.545793689961
30,30.0,300.0,100.0,174.55192908607205,290.2473385628591,178.48365655368497,2361.348829209049
31,31.0,300.0,100.0,174.86563513755328,288.20335034547077,179.52815235544324,2352.6430059333097
32,32.0,300.0,100.0,174.27243658609967,290.04711008761586,179.77545912510868,2354.5357518111155
33,33.0,300.0,100.0,174.408256338796,289.7110118216729,179.11956744684525,2349.5292685272902
34,34.0,300.0,100.0,174.698667356462,288.6465222460024,180.1209562145455,2350.5754636640136
35,35.0,300.0,100.0,173.55677589055676,291.03886933128706,179.0928170966661,2357.278551900877
36,36.0,300.0,100.0,175.6399150875427,290.41144632399414,180.29019155658588,2348.1302615364107
37,37.0,300.0,100.0,176.15769841828055,292.17611491760533,179.71487220956126,2357.376033528752
38,38.0,300.0,100.0,175.79631824579602,290.854520887608,180.83465565692794,2350.059848602485
39,39.0,300.0,100.0,174.84844554438672,290.09262000608044,181.57987081682592,2346.472490607142
40,40.0,300.0,100.0,175.10033854466548,288.5276018019316,180.46146075310386,2349.9184402120864
41,41.0,300.0,100.0,174.3408016691838,290.5536330075964,180.9971449066511,2346.4027326438404
42,42.0,300.0,100.0,174.34692762090307,290.3841913852213,179.92810559267699,2351.774000751213
43,43.0,300.0,100.0,172.70724187352775,289.33646874330765,180.07845379802194,2351.629598004468
44,44.0,300.0,100.0,176.6940721322959,289.49450007213596,180.2268269977578,2355.6143220337526
45,45.0,300.0,100.0,174.8301464598432,291.78148991808797,181.05765272653477,2344.3914894344407
46,46.0,300.0,100.0,175.08456624396754,291.7165383660676,180.5818652472996,2351.646967666692
47,47.0,300.0,100.0,175.07756399036785,289.9905444435231,181.51013639449891,2352.519806761819
48,48.0,300.0,100.0,175.13755221890216,292.6342970869359,179.07312193306592,2348.30812610487
49,49.0,300.0,100.0,174.69379961536043,289.371450650601,178.84414933017732,2359.90914524888
50,50.0,300.0,100.0,174.8674690608287,290.4480289823273,180.36888403763828,2346.396768393017
51,51.0,300.0,100.0,176.78781184585281,289.67251172915354,180.50250301364966,2350.413429161095
52,52.0,300.0,100.0,175.17829872355316,291.5088916877312,180.34126678955917,2338.765125854834
53,53.0,300.0,100.0,174.4068314356237,288.52691778370513,180.8871152795099,2349.120297561575
54,54.0,300.0,100.0,175.32636705718537,290.02904667059016,179.90692407676943,2353.1855462130507
55,55.0,300.0,100.0,174.69936946492575,288.3863607072091,179.0022440123349,2347.008580606056
56,56.0,300.0,100.0,172.83434612219475,289.73121940291503,180.5589602963249,2346.254195283673
57,57.0,300.0,100.0,173.07060273916844,288.4144447142013,181.18120588078293,2349.78437379517
58,58.0,300.0,100.0,174.9779626286044,290.05825704869676,180.34107887740905,2349.782076107158
59,59.0,300.0,100.0,175.41551059635478,290.4989452858267,179.68358550666915,2347.9299352844446
60,60.0,300.0,100.0,174.83443066543097,290.1693219462462,180.86834887078004,2350.084691455297
