Step,Time_hr,Target_Q,Choke_pct,OilRate_bbl_hr,WHP_psi,FLP_psi,BHP_psi
32,32.0,150.0,58.0,108.04525955354067,352.0785601797229,234.90596960600195,2514.130785992247
33,33.0,150.0,63.0,114.50027667891256,345.724731275876,229.99271406722121,2508.5308066190237
34,34.0,150.0,68.0,119.46723294437929,340.7599065335906,223.12351599422138,2497.5118014207933
35,35.0,150.0,73.0,125.18239850709985,332.36153512242464,219.24348144320663,2486.132365115513
36,36.0,150.0,78.0,131.15587518779753,326.37481647955246,211.20877747347146,2463.1163598701705
37,37.0,150.0,83.0,137.6154047284802,320.8012310803001,204.9786545495496,2446.766126048344
38,38.0,150.0,88.0,145.09051355522254,312.81874194595287,201.63602539776204,2433.2992456552392
39,39.0,150.0,88.0,149.09959498879863,308.8374173232429,195.16225930718562,2426.02367629216
40,40.0,150.0,88.0,153.36096837688595,308.54026154120425,195.1917573018237,2417.9102303915975
41,41.0,150.0,84.0,153.6360133619193,307.79248625396406,195.43879192800844,2410.5124197463642
42,42.0,150.0,81.0,152.58426033594023,310.4403215135712,197.45818612507318,2406.0007393332535
43,43.0,150.0,81.0,152.95139586717687,310.7510501306215,197.6380718216663,2404.8196553310663
44,44.0,150.0,81.0,152.352969227574,311.946689931424,200.2548212430874,2410.4544226772227
45,45.0,150.0,81.0,152.45356528254337,310.89046539563384,198.84943805885908,2407.3969651729403
46,46.0,150.0,81.0,152.2210274645247,312.6383263137727,201.24427849170272,2413.4691015429216
47,47.0,150.0,81.0,151.76943145456198,312.95329720396023,198.97577093226562,2409.752905277088
48,48.0,150.0,81.0,151.44165283262836,312.2133506734098,199.54578010009718,2411.2500898404137
49,49.0,150.0,81.0,152.81707518977456,313.50825479035456,200.44978308708207,2406.9091152909123
50,50.0,150.0,81.0,151.46523805013655,311.8874216606492,201.83099019533896,2398.883134358204
51,51.0,150.0,81.0,152.3801458879948,313.9394198177317,201.58270690881713,2407.5725812736723
52,52.0,150.0,81.0,152.32533886632896,314.12020610976583,200.35948895473624,2404.9721282949313
53,53.0,150.0,81.0,150.95420039516537,312.88013449884244,200.33956373116038,2405.031657047026
