step,time_hr,choke_prev,choke_chosen,delta_u,target_Q,predicted_Q,predicted_WHP,predicted_FLP,predicted_BHP,measured_Q,measured_WHP,measured_FLP,measured_BHP,tracking_error,cost_chosen,n_candidates_evaluated,n_candidates_rejected_hard,reason,rejected_summary
12,12.0,60.0,65.0,5.0,300.0,104.84366891006512,348.9491773228106,231.85309661370647,2546.0788059349593,99.91976527392447,353.9009346103703,236.5508520066817,2560.025791560424,-195.1563310899349,36925.72427700189,11,0,"TRACKING CORRECTION: err=-195.2 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=65.0% (move +5.0%) -> pred_Q=104.8 bbl/hr. WHP=348.9, FLP=231.9, BHP=2546.1 psi.",none
13,13.0,65.0,70.0,5.0,300.0,113.60086843959672,341.8773868322129,224.6125766816496,2525.1924116497503,108.6929320341353,347.0848220202395,229.2225999552681,2539.3597302904573,-186.39913156040328,33636.921067989824,11,0,"TRACKING CORRECTION: err=-186.4 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=70.0% (move +5.0%) -> pred_Q=113.6 bbl/hr. WHP=341.9, FLP=224.6, BHP=2525.2 psi.",none
14,14.0,70.0,75.0,5.0,300.0,120.93354679217843,334.3658873440496,218.1804644984954,2501.763962760769,115.7942724178173,339.7014914420531,222.95635382108827,2515.7566531773737,-179.06645320782155,31001.091053636592,11,0,"TRACKING CORRECTION: err=-179.1 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=75.0% (move +5.0%) -> pred_Q=120.9 bbl/hr. WHP=334.4, FLP=218.2, BHP=2501.8 psi.",none
15,15.0,75.0,80.0,5.0,300.0,131.20508347885186,326.60761230809044,210.3952448543791,2477.76525857771,126.34467411369135,331.9998241218462,214.91252931492275,2491.4947197081588,-168.79491652114814,27489.677832672674,11,0,"TRACKING CORRECTION: err=-168.8 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=80.0% (move +5.0%) -> pred_Q=131.2 bbl/hr. WHP=326.6, FLP=210.4, BHP=2477.8 psi.",none
16,16.0,80.0,85.0,5.0,300.0,136.66930851408722,317.19836267527506,205.19607265387043,2459.265012735033,131.25318676704725,322.16842442330636,210.26599743872873,2473.585544843915,-163.33069148591278,25707.68301045586,11,0,"TRACKING CORRECTION: err=-163.3 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=85.0% (move +5.0%) -> pred_Q=136.7 bbl/hr. WHP=317.2, FLP=205.2, BHP=2459.3 psi.",none
17,17.0,85.0,90.0,5.0,300.0,145.01201666297987,310.9312022309352,198.8663640197998,2446.4172575370535,139.53990402113013,316.39027248100024,204.13427893026764,2462.2070930223267,-154.98798333702013,23102.146345574503,11,0,"TRACKING CORRECTION: err=-155.0 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=90.0% (move +5.0%) -> pred_Q=145.0 bbl/hr. WHP=310.9, FLP=198.9, BHP=2446.4 psi.",none
18,18.0,90.0,95.0,5.0,300.0,152.36323754704136,303.7583902209549,192.70217892275178,2423.4319031970463,146.66300602809804,309.44384365151166,198.22000882701818,2439.1159544444754,-147.63676245295864,20921.66152288725,11,0,"TRACKING CORRECTION: err=-147.6 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=95.0% (move +5.0%) -> pred_Q=152.4 bbl/hr. WHP=303.8, FLP=192.7, BHP=2423.4 psi.",none
19,19.0,95.0,100.0,5.0,300.0,159.69509174433972,299.1269814287649,188.05562585860062,2407.374219767639,153.76337917832402,305.77578671801376,194.29945315971747,2424.0288450444937,-140.30490825566028,18854.58136357821,11,0,"TRACKING CORRECTION: err=-140.3 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=100.0% (move +5.0%) -> pred_Q=159.7 bbl/hr. WHP=299.1, FLP=188.1, BHP=2407.4 psi.",none
20,20.0,100.0,100.0,0.0,300.0,162.6151652600406,294.35122463495134,184.66264558499276,2391.632977885176,158.27336546481925,298.22615764466485,188.33856504571696,2403.781461420901,-137.3848347399594,18059.803885298843,6,0,"TRACKING CORRECTION: err=-137.4 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=162.6 bbl/hr. WHP=294.4, FLP=184.7, BHP=2391.6 psi.",none
21,21.0,100.0,100.0,0.0,300.0,167.29801167358892,294.36176746048636,181.497575171534,2381.0134691239045,163.7691813769184,298.2397577309071,184.18060946931658,2391.5119903278387,-132.70198832641108,16823.214595937996,6,0,"TRACKING CORRECTION: err=-132.7 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=167.3 bbl/hr. WHP=294.4, FLP=181.5, BHP=2381.0 psi.",none
22,22.0,100.0,100.0,0.0,300.0,170.53661513971815,291.01346245626974,179.34107014085924,2377.520909179729,167.57002532743488,293.9204946764704,181.34760705657374,2387.476788301157,-129.46338486028185,15993.677183843718,6,0,"TRACKING CORRECTION: err=-129.5 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=170.5 bbl/hr. WHP=291.0, FLP=179.3, BHP=2377.5 psi.",none
23,23.0,100.0,100.0,0.0,300.0,172.04768377923494,290.27491210124117,178.94012291642574,2372.0033810094087,169.34342431171584,292.9677758356543,180.8208823617339,2381.1019969701497,-127.95231622076506,15613.788821042428,6,0,"TRACKING CORRECTION: err=-128.0 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=172.0 bbl/hr. WHP=290.3, FLP=178.9, BHP=2372.0 psi.",none
24,24.0,100.0,100.0,0.0,300.0,172.98319493338767,290.1432982698285,178.18073889940487,2364.308870889444,170.4413456682788,292.7979959742744,179.82327896094552,2372.211984106609,-127.01680506661233,15380.909637538107,6,0,"TRACKING CORRECTION: err=-127.0 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=173.0 bbl/hr. WHP=290.1, FLP=178.2, BHP=2364.3 psi.",none
25,25.0,100.0,100.0,0.0,300.0,174.57114309242928,287.4029867503802,177.37806611426421,2357.2274342143146,172.30497090586942,289.2630353632503,178.76880707027019,2364.0302984433592,-125.42885690757072,14989.609209433687,6,0,"TRACKING CORRECTION: err=-125.4 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=174.6 bbl/hr. WHP=287.4, FLP=177.4, BHP=2357.2 psi.",none
26,26.0,100.0,100.0,0.0,300.0,174.5179936673942,287.75576098678516,178.43162767242862,2362.9872500826077,172.2425944301043,289.7181088180109,180.1528717461216,2370.685021923141,-125.4820063326058,15002.575908665287,6,0,"TRACKING CORRECTION: err=-125.5 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=174.5 bbl/hr. WHP=287.8, FLP=178.4, BHP=2363.0 psi.",none
27,27.0,100.0,100.0,0.0,300.0,175.70782629437412,289.73461776310614,178.7076545353264,2357.1724812109796,173.6389889531389,292.27080427234415,180.51548846041075,2363.9668073440007,-124.29217370562588,14712.51250015955,6,0,"TRACKING CORRECTION: err=-124.3 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=175.7 bbl/hr. WHP=289.7, FLP=178.7, BHP=2357.2 psi.",none
28,28.0,100.0,100.0,0.0,300.0,176.3501275995523,288.2121419372937,178.74727328993774,2358.5290295582035,174.3927975177648,290.30683337440524,180.56753565056667,2365.534123790248,-123.64987240044769,14557.112748611398,6,0,"TRACKING CORRECTION: err=-123.6 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=176.4 bbl/hr. WHP=288.2, FLP=178.7, BHP=2358.5 psi.",none
29,29.0,100.0,100.0,0.0,300.0,175.110709243202,288.33319793247347,178.8169784215892,2346.7569747443813,172.93820889301924,290.46299378596854,180.65910733871033,2351.9330345599355,-124.889290756798,14857.7204475824,6,0,"TRACKING CORRECTION: err=-124.9 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=175.1 bbl/hr. WHP=288.3, FLP=178.8, BHP=2346.8 psi.",none
30,30.0,100.0,100.0,0.0,300.0,176.7864510644544,288.2391757060044,179.2180534749197,2351.172081690862,174.90486928554546,290.34170652911104,181.1859999624761,2357.034120520727,-123.21354893554559,14452.001060633032,6,0,"TRACKING CORRECTION: err=-123.2 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=176.8 bbl/hr. WHP=288.2, FLP=179.2, BHP=2351.2 psi.",none
31,31.0,100.0,100.0,0.0,300.0,176.5396685654133,288.30693662218414,176.86926089288102,2354.4567256570676,174.61524390275827,290.4291170909987,178.10038923711363,2360.8291024827304,-123.46033143458669,14511.500575202383,6,0,"TRACKING CORRECTION: err=-123.5 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=176.5 bbl/hr. WHP=288.3, FLP=176.9, BHP=2354.5 psi.",none
32,32.0,100.0,100.0,0.0,300.0,176.80648418542205,286.7224290227761,177.6642892510181,2346.9162071908795,174.92838027336356,288.38512613886667,179.14481863781694,2352.117007090427,-123.19351581457795,14447.255610973418,6,0,"TRACKING CORRECTION: err=-123.2 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=176.8 bbl/hr. WHP=286.7, FLP=177.7, BHP=2346.9 psi.",none
33,33.0,100.0,100.0,0.0,300.0,176.30068681805562,288.1517155328911,177.85251222334512,2348.550194333002,174.3347735277253,290.22888422230585,179.39208730964995,2354.0048682389406,-123.69931318194438,14569.087367047478,6,0,"TRACKING CORRECTION: err=-123.7 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=176.3 bbl/hr. WHP=288.2, FLP=177.9, BHP=2348.6 psi.",none
34,34.0,100.0,100.0,0.0,300.0,176.41616619267546,287.89117042133745,177.3532253763167,2344.213675524931,174.47030079650756,289.8927849503069,178.73617377262485,2348.994580724118,-123.58383380732454,14541.249499780195,6,0,"TRACKING CORRECTION: err=-123.6 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=176.4 bbl/hr. WHP=287.9, FLP=177.4, BHP=2344.2 psi.",none
35,35.0,100.0,100.0,0.0,300.0,176.66343953879272,287.0659746017309,178.11548129943236,2345.1166171035375,174.7605022402913,288.8282947644326,179.7375499987858,2350.0378131227617,-123.33656046120728,14481.641534285716,6,0,"TRACKING CORRECTION: err=-123.3 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=176.7 bbl/hr. WHP=287.1, FLP=178.1, BHP=2345.1 psi.",none
36,36.0,100.0,100.0,0.0,300.0,175.69033460827995,288.9205285794103,177.33284776278558,2350.9162966861395,173.61846060813753,291.22064147961,178.70940368515534,2356.7385939768888,-124.30966539172005,14716.821026963305,6,0,"TRACKING CORRECTION: err=-124.3 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=175.7 bbl/hr. WHP=288.9, FLP=177.3, BHP=2350.9 psi.",none
37,37.0,100.0,100.0,0.0,300.0,177.4652334048917,288.4341483056843,178.244296031056,2342.9966861254334,175.70149220630458,290.59321824783564,179.90677401648836,2347.58850662094,-122.5347665951083,14289.307313695166,6,0,"TRACKING CORRECTION: err=-122.5 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=177.5 bbl/hr. WHP=288.4, FLP=178.2, BHP=2343.0 psi.",none
38,38.0,100.0,100.0,0.0,300.0,177.90635785563478,289.80212431279847,177.80635634952526,2350.9979026365236,176.2191984391197,292.35788670529195,179.33145230067294,2356.832879114908,-122.09364214436522,14184.058069824096,6,0,"TRACKING CORRECTION: err=-122.1 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=177.9 bbl/hr. WHP=289.8, FLP=177.8, BHP=2351.0 psi.",none
39,39.0,100.0,100.0,0.0,300.0,177.59838783506711,288.77762079798066,178.65874380099396,2344.66463334888,175.85776302355956,291.03629259271247,180.45123438893776,2349.5156042582116,-122.40161216493289,14257.472961991996,6,0,"TRACKING CORRECTION: err=-122.4 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=177.6 bbl/hr. WHP=288.8, FLP=178.7, BHP=2344.7 psi.",none
40,40.0,100.0,100.0,0.0,300.0,176.79069563535677,288.1869930288692,179.22600719350186,2341.5589580005258,174.9098507387569,290.2743916610964,181.19644876904644,2345.927397424197,-123.20930436464323,14450.983358289932,6,0,"TRACKING CORRECTION: err=-123.2 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=176.8 bbl/hr. WHP=288.2, FLP=179.2, BHP=2341.6 psi.",none
41,41.0,100.0,100.0,0.0,300.0,177.00530315377785,286.9737864423935,178.37466379797198,2344.5409342763055,175.16171537629492,288.7093734265673,180.0780382579176,2349.3726859529197,-122.99469684622215,14399.469884958364,6,0,"TRACKING CORRECTION: err=-123.0 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=177.0 bbl/hr. WHP=287.0, FLP=178.4, BHP=2344.5 psi.",none
42,42.0,100.0,100.0,0.0,300.0,176.35810358255696,288.5443715809764,178.78243084158754,2341.4975630943977,174.4021581780215,290.73540461380554,180.61372215476365,2345.8564635379944,-123.64189641744304,14555.191320967853,6,0,"TRACKING CORRECTION: err=-123.6 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=176.4 bbl/hr. WHP=288.5, FLP=178.8, BHP=2341.5 psi.",none
43,43.0,100.0,100.0,0.0,300.0,176.36331094398918,288.4130199447384,177.9686691003968,2346.1461718455585,174.40826956782414,290.5659629802542,179.54468269350633,2351.22733068237,-123.63668905601082,14553.968991394982,6,0,"TRACKING CORRECTION: err=-123.6 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=176.4 bbl/hr. WHP=288.4, FLP=178.0, BHP=2346.1 psi.",none
44,44.0,100.0,100.0,0.0,300.0,174.96616709758013,287.6008223676438,178.08311534212507,2346.0209176777375,172.76857338637964,289.5182403315618,179.6950308143471,2351.0826156653284,-125.03383290241987,14893.010557834916,6,0,"TRACKING CORRECTION: err=-125.0 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=175.0 bbl/hr. WHP=287.6, FLP=178.1, BHP=2346.0 psi.",none
45,45.0,100.0,100.0,0.0,300.0,178.36323844544995,287.72332870002117,178.1960582205537,2349.469577264896,176.7553961688105,289.6762716562786,179.84340396559836,2355.067096498262,-121.63676155455005,14075.429108707684,6,0,"TRACKING CORRECTION: err=-121.6 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=178.4 bbl/hr. WHP=287.7, FLP=178.2, BHP=2349.5 psi.",none
46,46.0,100.0,100.0,0.0,300.0,176.77502972883383,289.4962097310985,178.8284896634895,2339.7557942043495,174.89146513932803,291.9632614997368,180.67422966655715,2343.8440744974414,-123.22497027116617,14454.765116211698,6,0,"TRACKING CORRECTION: err=-123.2 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=176.8 bbl/hr. WHP=289.5, FLP=178.8, BHP=2339.8 psi.",none
47,47.0,100.0,100.0,0.0,300.0,176.99181115267834,289.445859102071,178.46631625964517,2346.035449425711,175.1458810849728,291.8983099462039,180.1984421713612,2351.0994052236492,-123.00818884732166,14402.700295028622,6,0,"TRACKING CORRECTION: err=-123.0 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=177.0 bbl/hr. WHP=289.4, FLP=178.5, BHP=2346.0 psi.",none
48,48.0,100.0,100.0,0.0,300.0,176.98584236508822,288.1078637037035,179.1729239808434,2346.790812260958,175.13887608098236,290.172316022742,181.12671330940296,2351.9721294409537,-123.01415763491178,14404.105032805766,6,0,"TRACKING CORRECTION: err=-123.0 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=177.0 bbl/hr. WHP=288.1, FLP=179.2, BHP=2346.8 psi.",none
49,49.0,100.0,100.0,0.0,300.0,177.0369551455492,290.1573082715434,177.31784827261274,2343.1454285771924,175.19886233877557,292.8160686655983,178.68969884271579,2347.760359317067,-122.9630448544508,14391.919848774585,6,0,"TRACKING CORRECTION: err=-123.0 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=177.0 bbl/hr. WHP=290.2, FLP=177.3, BHP=2343.1 psi.",none
50,50.0,100.0,100.0,0.0,300.0,176.65884351774525,287.62794043397247,177.1435524180466,2353.186316531562,174.7551083231361,289.5532222289259,178.46072623681258,2359.361308784156,-123.34115648225475,14482.790442060328,6,0,"TRACKING CORRECTION: err=-123.3 bbl/hr outside dead-band +/-3.0. All 6 candidates feasible; chose u=100.0% (move +0.0%) -> pred_Q=176.7 bbl/hr. WHP=287.6, FLP=177.1, BHP=2353.2 psi.",none
