step,time_hr,choke_prev,choke_chosen,delta_u,target_Q,predicted_Q,predicted_WHP,predicted_FLP,predicted_BHP,measured_Q,measured_WHP,measured_FLP,measured_BHP,tracking_error,cost_chosen,n_candidates_evaluated,n_candidates_rejected_hard,reason,rejected_summary
12,12.0,60.0,60.0,0.0,100.0,102.01959909971269,351.83810325734754,233.84124261814523,2553.751466979258,99.24133678186304,353.9788899451741,235.37952113386916,2563.3055181717864,2.0195990997126927,0.16682125754274987,11,0,"DEAD-BAND HOLD: pred_Q=102.0 bbl/hr within +/-3.0 bbl/hr of target 100.0 (err=+2.02). Tracking cost suppressed; holding choke at 60.0%. WHP=351.8, FLP=233.8, BHP=2553.8 psi.",none
13,13.0,60.0,55.0,-5.0,100.0,104.26717163653281,350.38195862700655,234.32537629616934,2543.396359040875,104.45432327477623,348.4073219885924,232.3666597102401,2545.8714315406414,4.267171636532808,3.2719155785626697,11,0,"TRACKING CORRECTION: err=+4.3 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=55.0% (move -5.0%) -> pred_Q=104.3 bbl/hr. WHP=350.4, FLP=234.3, BHP=2543.4 psi.",none
14,14.0,55.0,50.0,-5.0,100.0,106.16446808303238,353.87125685557226,236.3203241075814,2532.4701979819133,108.1623931892155,350.604269903245,232.86331971082387,2529.8599990986004,6.164468083032375,11.679010819835243,11,0,"TRACKING CORRECTION: err=+6.2 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=50.0% (move -5.0%) -> pred_Q=106.2 bbl/hr. WHP=353.9, FLP=236.3, BHP=2532.5 psi.",none
15,15.0,50.0,45.0,-5.0,100.0,104.93541302585304,356.64049085849604,238.95244698160306,2538.208438625704,108.20756612847244,351.8728281369237,234.1896688311209,2533.069179568668,4.9354130258530375,5.409511437836287,11,0,"TRACKING CORRECTION: err=+4.9 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=45.0% (move -5.0%) -> pred_Q=104.9 bbl/hr. WHP=356.6, FLP=239.0, BHP=2538.2 psi.",none
16,16.0,45.0,45.0,0.0,100.0,103.55382681177603,360.88250270260266,243.3455289408533,2538.680024818686,105.49434564420379,358.73439977712746,241.45229736128908,2535.69440718407,3.553826811776034,0.4693271326239794,11,0,"TRACKING CORRECTION: err=+3.6 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=45.0% (move +0.0%) -> pred_Q=103.6 bbl/hr. WHP=360.9, FLP=243.3, BHP=2538.7 psi.",none
17,17.0,45.0,45.0,0.0,100.0,98.7177574939604,363.0236518142439,244.92304457017661,2532.444259207114,99.82830852228892,361.4950156637203,243.50643857087556,2528.502115545369,-1.2822425060395943,0.16294180836087765,11,0,"DEAD-BAND HOLD: pred_Q=98.7 bbl/hr within +/-3.0 bbl/hr of target 100.0 (err=-1.28). Tracking cost suppressed; holding choke at 45.0%. WHP=363.0, FLP=244.9, BHP=2532.4 psi.",none
18,18.0,45.0,45.0,0.0,100.0,98.5842818892449,363.0282383742775,246.78572610429268,2542.669069888727,99.67192579046953,361.5009291848407,245.9319048093336,2540.295345912494,-1.415718110755094,0.1623149550854579,11,0,"DEAD-BAND HOLD: pred_Q=98.6 bbl/hr within +/-3.0 bbl/hr of target 100.0 (err=-1.42). Tracking cost suppressed; holding choke at 45.0%. WHP=363.0, FLP=246.8, BHP=2542.7 psi.",none
19,19.0,45.0,45.0,0.0,100.0,98.2502678226294,364.9561486290217,245.8447779794131,2537.7651852139898,99.28058812007814,363.9866129927715,244.7066615955929,2534.63923711363,-1.7497321773706034,0.16339591596950162,11,0,"DEAD-BAND HOLD: pred_Q=98.3 bbl/hr within +/-3.0 bbl/hr of target 100.0 (err=-1.75). Tracking cost suppressed; holding choke at 45.0%. WHP=365.0, FLP=245.8, BHP=2537.8 psi.",none
20,20.0,45.0,45.0,0.0,100.0,97.38150823410045,364.9929157484513,247.16042956679763,2544.333101784091,98.26273172573518,364.0340173951318,246.41981999026675,2542.214629515032,-2.618491765899549,0.16303698496829305,11,0,"DEAD-BAND HOLD: pred_Q=97.4 bbl/hr within +/-3.0 bbl/hr of target 100.0 (err=-2.62). Tracking cost suppressed; holding choke at 45.0%. WHP=365.0, FLP=247.2, BHP=2544.3 psi.",none
21,21.0,45.0,45.0,0.0,100.0,96.49704583685478,366.10763373782714,247.536727747759,2543.815000706216,97.22647760148797,365.4712401339923,246.90981171284432,2541.6170550899305,-3.502954163145219,0.4164450375836266,11,0,"TRACKING CORRECTION: err=-3.5 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=45.0% (move +0.0%) -> pred_Q=96.5 bbl/hr. WHP=366.1, FLP=247.5, BHP=2543.8 psi.",none
